B_scale,I_scale,N,n_seeds,opt_mean,qubo_mean,nb3r_final_mean,nb3r_best_mean,nb3r_tail_mean,qubo_hits_opt_pct,nb3r_best_hits_opt_pct,nb3r_final_hits_opt_pct,qubo_ge_nb3r_best_pct,qubo_mean_seconds,nb3r_mean_seconds
skewed,high,4,20,1.8094570001044366,1.8094570001044366,0.7817572272345601,1.8094570001044366,0.8553643230488449,100.0,100.0,10.0,100.0,0.5098876476287841,0.7453700184822083
skewed,high,5,20,1.530133507619779,1.5301335076197793,0.3349609172520337,1.5301335076197793,0.08794595569570203,100.0,100.0,10.0,100.0,0.49142401218414306,0.8671186447143555
skewed,high,6,20,1.0917678764583707,1.0917678764583707,-1.206648760690002,1.0366999083574737,-0.9629672727134867,100.0,75.0,0.0,100.0,0.49722933769226074,1.010442054271698
skewed,high,7,20,0.3122969548493749,0.31229695484937486,-2.325287598104838,0.1430870855128773,-2.2851543744072744,100.0,50.0,0.0,100.0,0.5009044170379638,1.1442831993103026
skewed,high,8,20,-0.8921519404179518,-0.8921519404179518,-4.39588665241337,-1.2538308573611672,-4.109621931543565,100.0,5.0,0.0,100.0,0.5097534894943238,1.2860350728034973
skewed,low,4,20,2.999384004991552,2.999384004991552,1.8655962511454405,2.999384004991552,1.9374895715575637,100.0,100.0,15.0,100.0,0.48830262422561643,0.7239538311958313
skewed,low,5,20,3.5662123478743126,3.5662123478743126,2.0540272372694837,3.5662123478743126,1.9787451079624825,100.0,100.0,5.0,100.0,0.5006585121154785,0.8581560492515564
skewed,low,6,20,3.9168622376441187,3.9168622376441187,1.4939720375230592,3.866970296312333,1.7576640215664772,100.0,90.0,0.0,100.0,0.5078471302986145,1.0264892339706422
skewed,low,7,20,4.270515957769828,4.270515957769828,1.5646300575439407,3.9372929153433947,1.5849833093652412,100.0,40.0,0.0,100.0,0.5130448579788208,1.1596656918525696
skewed,low,8,20,4.430036561873737,4.430036561873738,0.9185334809536466,3.7480952338266227,1.2041951413067624,100.0,0.0,0.0,100.0,0.4994028568267822,1.2431613683700562
skewed,moderate,4,20,2.397697861013255,2.397697861013255,1.3415621206412913,2.397697861013255,1.3733322131339707,100.0,100.0,15.0,100.0,0.5041954517364502,0.7418867707252502
skewed,moderate,5,20,2.5341109770671983,2.5341109770671983,1.1649141729663977,2.5341109770671983,1.0066437030605648,100.0,100.0,5.0,100.0,0.48814491033554075,0.8442302346229553
skewed,moderate,6,20,2.4758902835178147,2.4758902835178147,0.13098508641228956,2.4114240938267417,0.38139871302191153,100.0,80.0,0.0,100.0,0.5018096804618836,1.0292879104614259
skewed,moderate,7,20,2.2484152789157483,2.2484152789157483,-0.5252294585356735,1.9940433194923946,-0.3866855284540713,100.0,50.0,0.0,100.0,0.4921938180923462,1.1314404368400575
skewed,moderate,8,20,1.703822419177196,1.7038224191771958,-1.8292296764634113,1.216813983867038,-1.516358389185045,100.0,5.0,0.0,100.0,0.4898411273956299,1.251069676876068
uniform,high,4,20,2.180087292277903,2.180087292277903,1.5165322686708136,2.180087292277903,1.5449479747835944,100.0,100.0,0.0,100.0,0.5041345119476318,0.7464320659637451
uniform,high,5,20,2.1485611896331824,2.1485611896331824,1.2730892852142177,2.1226459980081778,1.172227849483366,100.0,60.0,0.0,100.0,0.5009534955024719,0.8588424563407898
uniform,high,6,20,1.8898759746027918,1.889875974602792,0.5942452838365632,1.7771477799498967,0.4921371318250766,100.0,35.0,0.0,100.0,0.510613203048706,1.0304683923721314
uniform,high,7,20,1.412208291789903,1.412208291789903,-0.30602066165448566,1.1593496007990796,-0.384807753405246,100.0,20.0,0.0,100.0,0.5053890943527222,1.1496281266212462
uniform,high,8,20,0.42033998430467456,0.4203399843046746,-1.75444768669963,-0.032503119231788405,-1.7090253066554493,100.0,5.0,0.0,100.0,0.5063381910324096,1.2677798748016358
uniform,low,4,20,3.0800737918106624,3.0800737918106624,2.544299961063353,3.0791453551244246,2.5812716175209642,100.0,95.0,5.0,100.0,0.48443530797958373,0.7299998044967652
uniform,low,5,20,3.6449933323524197,3.6449933323524197,3.0924713316418835,3.6217730462637374,2.986465608181463,100.0,75.0,0.0,100.0,0.5062927722930908,0.8618467926979065
uniform,low,6,20,4.125802333307947,4.125802333307947,3.229027619657477,4.065928592775337,3.243664878757242,100.0,35.0,0.0,100.0,0.5087703108787537,1.001414966583252
uniform,low,7,20,4.556963889171584,4.556963889171584,3.408919289671537,4.376432560316411,3.440117033145451,100.0,5.0,0.0,100.0,0.506470513343811,1.1356343269348144
uniform,low,8,20,4.751095838707526,4.750254261015476,3.586537644782138,4.4641177882289265,3.487022339761986,95.0,0.0,0.0,100.0,0.5242452025413513,1.2732210040092469
uniform,moderate,4,20,2.6105145020220615,2.6105145020220615,1.9473975917476347,2.6105145020220615,2.045264511190286,100.0,100.0,0.0,100.0,0.4974909543991089,0.7247716784477234
uniform,moderate,5,20,2.8810225828976814,2.8810225828976814,2.182083752803278,2.842429752862769,2.067069872631562,100.0,50.0,0.0,100.0,0.5070987462997436,0.8659462690353393
uniform,moderate,6,20,2.956062170740705,2.956062170740705,1.9228897531474385,2.8707875180608307,1.848160187880055,100.0,20.0,0.0,100.0,0.5167672991752624,1.0252786159515381
uniform,moderate,7,20,2.9291951492042303,2.9291951492042303,1.4657660229022647,2.721849908648453,1.4900391376260775,100.0,10.0,0.0,100.0,0.5094763517379761,1.1423275351524353
uniform,moderate,8,20,2.5330622443248196,2.5330622443248196,0.8707893497450457,2.1275812551932827,0.8312416602429137,100.0,5.0,0.0,100.0,0.5169816255569458,1.2863411903381348
